favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
19,Twitter Web Client,「そして1970年に、台湾が自分たちのものだと言ったら、台湾が自分たちのものというならおれたちのものだということになった。つまり、これはまったくの言いがかりだということだ。」（安倍晋三、週刊ニュース新書&amp;マネーの羅針盤SPにて）,,False,Sat Sep 15 03:34:01 +0000 2012,62,246814099403571201
28,Twitter Web Client,「日本全国の演説会場を回りますと、若い方に随分来て頂いて今までの自民党の演説会の聴衆と雰囲気が違うんです。早く自民党が責任をもってやってもらいたい。そういう手ごたえを強く感じています」（安倍晋三、２３日のNHK「日曜討論」）《総裁選秘書団アップ》　　#安倍晋三　　#jnsc,,False,Sun Sep 23 07:41:47 +0000 2012,119,249775556604858369
239,Twitter for iPhone,ヨドバシカメラマルチメディア梅田前にて #中山泰秀 候補の応援演説。外務副大臣の中山さんは党内屈指の外交のスペシャリスト。力強い日本外交、共に #拉致問題 の解決に取り組みます。#総選挙 http://t.co/m9Dh8pb0dD,,False,Wed Dec 10 11:04:21 +0000 2014,373,542635929182027776
384,TweetDeck,昨晩の #cafesta #平和・安全法制 特集 第２夜は「#集団的自衛権 って何？アメリカの言いなりに戦争するの？」がテーマ。インタビュアーは牧島かれん衆院議員でした。第３夜となる今晩は、20時30分からの放送です。 http://t.co/6iJeMs6gzY,,False,Wed Jul 08 03:19:53 +0000 2015,487,618620492958699520
5369,Twitter for iPhone,"明日１０月２０日(金)
安倍晋三総裁は神奈川県、東京都に参ります。

詳細は是非、自民党の特設サイトでご確認下さい。
https://t.co/vKXI8z5Mjr",,False,Thu Oct 19 12:33:47 +0000 2017,2116,920991367534280704
158,Facebook,"昨日の「ニコニコ動画党首討論会」ご覧いただけましたでしょうか。
横目で見る皆様の書き込みに励まされました。
本当にありがとうございました。... http://t.co/Rlc2nG0c",,False,Fri Nov 30 09:49:23 +0000 2012,611,274450041270304770
4401,Twitter for iPhone,そうした中、仮設住宅への入居、再建支援金を得るためなどに、罹災証明書が必要となりますが、自治体が災害対応に忙殺される中、その認定までに時間がかかることが、災害のたびに、早期の生活再建の妨げとなってきました。 https://t.co/xMEYwb3Nbk,,False,Sun Jul 15 07:16:20 +0000 2018,1565,1018393814837256194
392,Twitter Web Client,#日韓国交正常化50周年 の祝賀行事に出席。日韓の関係者、与野党の幹部等多くの方が出席。ソウルでの祝賀行事にパク・クネ大統領に出席して頂いたことも大変嬉しいことです。ともに手を携え、両国の新しい時代を築き上げていきたいと思います。 http://t.co/Mi8HMJJb37,,False,Mon Jun 22 14:03:33 +0000 2015,413,612984269443461120
267,TweetDeck,新宿駅西口での街頭演説会。東京都選出の小池百合子(@ecoyuri)前衆院議員と山田みき(@yamada_miki)前衆院議員と共に安倍政権２年間の実績を力強くアピールしました。 http://t.co/GkqGsD0jAu,,False,Fri Nov 28 10:26:37 +0000 2014,439,538277778571816960
35,Facebook,新しい写真をFacebookに投稿しました http://t.co/tB0Q312N,,False,Tue Feb 12 10:35:14 +0000 2013,122,301278281305579520
7,Facebook,I posted a new photo to Facebook http://t.co/cWQOb8WR,,False,Sun Mar 25 05:20:22 +0000 2012,2,183785376157143040
305,Facebook,"今年も今日で終わり。
昨日出席した大お納会、今年最高値でした。
来年も三本の矢を射込んで行きます。
皆さん良いお年を。 http://t.co/g8UIXHwNvd",,False,Tue Dec 31 01:54:19 +0000 2013,742,417836081074409472
154,Facebook,"今日の朝は日独中小企業セミナーに出席。
歓迎式典(儀仗兵栄誉礼)後、日独首脳会談をワーキングランチ形式で、昼食をとりながら同時通訳で行いました。
この後ガウク大統領を表敬訪問しロンドンに向かいます。",,False,Wed Apr 30 12:09:37 +0000 2014,148,461477471096168449
64,Facebook,"・・・秘書です。
・・・緊急告知です。
『山本一太VS安倍晋三』
明日６月２６日（水）２０：００～
「山本一太の直滑降ストリーム（ニコ動）」に安倍総理出演決定です。... http://t.co/jVFyeaAHhn",,False,Tue Jun 25 08:36:46 +0000 2013,232,349446053206040576
14014,Twitter for iPhone,電力供給については、最大８万戸近い停電が発生していましたが、他の地域からも応援を得て懸命の復旧作業により、今夜中に３千戸余りまで減少する見込みです。高速道路の通行止めについても、本日、中国道の開通に続き、岡山道も復旧しました。明日… https://t.co/lODX2fEdm7,,False,Mon Jul 09 12:36:45 +0000 2018,5601,1016300119346405376
700,Twitter Web Client,ワシントン到着後、オバマ大統領が散歩に誘ってくれました。２人でリンカーンメモリアルを歩きました。 http://t.co/Bta8sc4eEc,,False,Tue Apr 28 03:34:48 +0000 2015,806,592894709762301952
26,Twitter Web Client,「海上保安庁に領海侵犯は絶対にさせないということをトップが指示をしておく必要がある。トップがそういうこと指示したということをあらかじめ中国に伝えておく必要がある」（安倍晋三、報道ステーションにて）,,False,Fri Sep 14 15:49:27 +0000 2012,119,246636790646206465
3350,Twitter Web App,Je tiens à vous exprimer mes remerciements de tout mon cœur pour vos condoléances. https://t.co/NsmqVmFJCW,,False,Sun Jul 15 02:19:28 +0000 2018,993,1018319104569036801
